Mes_Cierre,Codigo_Tienda,Tienda,Ciudad,Formato,Jefe_Zona,Target_Tasa_Recompra,Ticket_Promedio_3M,AUR_Neto_3M,Porcentaje_Descuento_3M,Tasa_Devolucion_Dinero_3M,Share_Bottoms_3M,Share_Tops_3M,Share_Calzado_3M,Share_Accesorios_3M,Share_MarcasPropias_3M,Share_Outlet_3M,Share_Femenino_3M,Share_Masculino_3M,UPT_3M,Penetracion_Bottoms_3M,Tasa_Outfit_Completo_3M,Tasa_Captura_HabeasData_3M,Tasa_Captura_Email_3M,Tasa_Captura_Celular_3M,Antiguedad_Promedio_Ponderada_3M
2025-12-01,730,PILATOS SANTA ROSA,Santa Rosa De Cabal,Pilatos,LLANOS GIRALDO ERIKA MARCELA,0.2647,448690.06,297434.81,0.2718,0.0838,0.0841,0.2657,0.591,0.1186,0.7778,0.3629,0.2504,0.6275,1.59,0.0922,0.0341,0.2628,0.2833,0.273,0.0
2025-12-01,713,PILATOS ARAUCA,Arauca,Pilatos,SANTOS HERNANDEZ ANGELICA MARIA,0.2399,406206.38,251511.2,0.2207,0.0632,0.2442,0.4412,0.1827,0.1993,0.7241,0.2647,0.2328,0.7171,1.72,0.1339,0.0418,0.3452,0.3891,0.3515,0.0
2025-12-01,P15,PILATOS NUESTRO ATLANTICO,Soledad,,ARNEDO GARCIA CARMEN ELISA,0.2326,191526.69,53022.47,0.4919,0.0,0.2374,0.332,0.3465,0.2338,0.7956,0.9997,0.269,0.6467,3.61,0.4199,0.2051,0.0897,0.1122,0.0962,38.2
2025-12-01,726,PILATOS CABLE PLAZA MANIZALES,Manizales,Pilatos,LLANOS GIRALDO ERIKA MARCELA,0.2214,409173.16,237215.28,0.5599,0.1097,0.0776,0.2819,0.5997,0.2128,0.9061,0.9201,0.2338,0.722,1.87,0.1173,0.0417,0.1304,0.1486,0.1538,29.5
2025-12-01,194,PILATOS SAN SILVESTRE BARRANCABERMEJA,Barrancabermeja,Pilatos,SANTOS HERNANDEZ ANGELICA MARIA,0.1852,436465.49,324082.16,0.1734,0.0816,0.0703,0.3144,0.4494,0.2101,0.6638,0.262,0.1831,0.6674,1.44,0.0726,0.0161,0.1169,0.121,0.125,0.0
2025-12-01,172,PILATOS UNICENTRO YOPAL,Yopal,Pilatos,SANTOS HERNANDEZ ANGELICA MARIA,0.179,438215.38,299008.58,0.1448,0.0569,0.1966,0.4375,0.2306,0.2289,0.6889,0.2156,0.1716,0.7738,1.53,0.1365,0.0523,0.8546,0.8508,0.8584,0.0
2025-12-01,177,PILATOS ACCESORIOS CALLE 6 POPAYAN,Popayán,Pilatos,PARRA NAVIA KAROL YESENIA,0.1749,624387.8,340575.16,0.264,0.0632,0.0069,0.1848,0.7434,0.0762,0.7441,0.3335,0.2748,0.6319,1.93,0.0102,0.0102,0.0884,0.0986,0.0986,0.0
2025-12-01,166,PILATOS CAMPANARIO POPAYAN,Popayán,Pilatos,PARRA NAVIA KAROL YESENIA,0.1737,503076.97,378469.32,0.1604,0.048,0.0934,0.3334,0.492,0.1735,0.7515,0.1753,0.1875,0.7325,1.4,0.0904,0.0268,0.1317,0.1328,0.1406,0.0
2025-12-01,319,PILATOS OUTLET LA TORRE ITAGUI,Itagüí,Pilatos,GONZALEZ PULGARIN OLGA PATRICIA,0.1712,404845.01,150091.33,0.6273,0.0278,0.1513,0.3601,0.3974,0.2732,0.8813,0.9944,0.2734,0.696,2.75,0.2609,0.1154,0.1237,0.1505,0.1438,415.3
2025-12-01,131,PILATOS GRAN PLAZA IPIALES,Ipiales,Pilatos,PARRA NAVIA KAROL YESENIA,0.17,637190.0,417521.19,0.2214,0.113,0.0892,0.3979,0.4254,0.372,0.8046,0.3427,0.2359,0.6778,1.65,0.0919,0.0324,0.155,0.1622,0.1568,32.0
