CodigoAlmacen,nombrealmacen,Marca,Genero,Tipo,f126_precio,Despacho
PO319,PILATOS OUTLET LA TORRE ITAGUI,NEW BALANCE,MASCULINO,SUDADERA,503900.0,2.0
PL121,PILATOS TITAN PLAZA BOGOTA,SUPERDRY,MASCULINO,GORRO,169900.0,6.0
PLP06,PILATOS FLORIDA PARQUE COMERCIAL,DIESEL ADULTO,MASCULINO,FRAGANCIA,379900.0,1.0
PL122,PILATOS ARRECIFE SANTA MARTA,SUPERDRY,MASCULINO,CAMISETA,299900.0,2.0
ML488,DIESEL CENTRO COMERCIAL EL EDEN,DIESEL ADULTO,MASCULINO,CHAQUETA,1599900.0,6.0
PL10P,PILATOS UNICO PASTO,CLEMONT,FEMENINO,PANTALON,580000.0,10.0
PL110,PILATOS JARDIN PLAZA CALI,MARITHE FRANCOIS GIRBAUD,MASCULINO,BUZO,389900.0,2.0
PL10P,PILATOS UNICO PASTO,SUPERDRY,MASCULINO,BUZO,399900.0,29.0
PL11P,PILATOS UNICO PEREIRA,NEW BALANCE,UNISEX,TENIS,959900.0,10.0
CDEDM,CENTRO DE DISTRIBUCION EDM,NEW BALANCE,MASCULINO,CHAQUETA,1059900.0,10.0
PLP06,PILATOS FLORIDA PARQUE COMERCIAL,MARITHE FRANCOIS GIRBAUD,FEMENINO,CAMISETA,249900.0,10.0
PL102,PILATOS PORTAL DEL QUINDIO ARMENIA,NEW BALANCE,UNISEX,TENIS,979900.0,2.0
CDEDM,CENTRO DE DISTRIBUCION EDM,NEW BALANCE,MASCULINO,CAMISETA,199900.0,101.0
PL138,PILATOS VIVA BARRANQUILLA,DIESEL ADULTO,MASCULINO,POLO,549900.0,2.0
PL110,PILATOS JARDIN PLAZA CALI,MONASTERY,UNISEX,MORRAL,750000.0,1.0
MF739,MFG FUNDADORES MANIZALES,MARITHE FRANCOIS GIRBAUD,MASCULINO,JEAN,669900.0,4.0
PF183,PILATOS IPIALES,SUPERDRY,MASCULINO,BUZO,599900.0,39.0
BBC1 ,BROKEN CHAINS MEDELLIN,ADIDAS,MASCULINO,BUZO,699950.0,7.0
PF726,PILATOS CABLE PLAZA MANIZALES,CLEMONT,FEMENINO,CAMISETA,270000.0,2.0
PL123,PILATOS UNICENTRO ARMENIA,DIESEL ADULTO,MASCULINO,TENIS,999990.0,1.0
PL132,PILATOS SANTAFE MEDELLIN,PILATOS,UNISEX,PROTECCION,29900.0,3.0
PL15P,PILATOS UNICENTRO MEDELLIN,SUPERDRY,MASCULINO,CAMISETA,219900.0,1.0
CDEDM,CENTRO DE DISTRIBUCION EDM,NIKE,FEMENINO,TENIS,1064950.0,2.0
MO422,DIESEL OUTLET MAYORCA SABANETA,DIESEL ADULTO,FEMENINO,ZAPATOS,3599900.0,1.0
PF194,PILATOS SAN SILVESTRE BARRANCABERMEJA,GOORIN BROS,MASCULINO,GORRO,299900.0,4.0
CDEDM,CENTRO DE DISTRIBUCION EDM,NEW BALANCE,UNISEX,TENIS,579900.0,3.0
MLM08,MFG BUENAVISTA BARRANQUILLA,MARITHE FRANCOIS GIRBAUD,MASCULINO,BERMUDA,299900.0,3.0
ML488,DIESEL CENTRO COMERCIAL EL EDEN,DIESEL ADULTO,MASCULINO,CAMISETA,449900.0,65.0
MF728,SUPERDRY PASTO,SUPERDRY,MASCULINO,CAMISETA,219900.0,33.0
ML606,SUPERDRY OVIEDO MEDELLIN,SUPERDRY,MASCULINO,CHAQUETA,589900.0,6.0
ML211,NEW BALANCE MAYORCA SABANETA,NEW BALANCE,FEMENINO,CHAQUETA,594900.0,4.0
PL131,PILATOS GRAN PLAZA IPIALES,NEW ERA,UNISEX,GORRO,209990.0,3.0
PF730,PILATOS SANTA ROSA,DIESEL ADULTO,MASCULINO,CAMISETA,749900.0,6.0
PO302,PILATOS PLAZA CENTRAL  BOGOTA,SUPERDRY,MASCULINO,CAMISA,379900.0,5.0
PL143,PILATOS CARACOLI BUCARAMANGA,CLEMONT,MASCULINO,CAMISETA,390000.0,37.0
PL145,PILATOS DE MODA PRIME OUTLET LC 227,REPLAY,MASCULINO,GORRO,149900.0,26.0
MF743,MFG CACIQUE BUCARAMANGA,MARITHE FRANCOIS GIRBAUD,MASCULINO,POLO,249900.0,43.0
PL113,PILATOS EL TESORO MEDELLIN,MARITHE FRANCOIS GIRBAUD,FEMENINO,PANTALON,639900.0,6.0
CDEDM,CENTRO DE DISTRIBUCION EDM,MONASTERY,MASCULINO,MATERIAL PUBLICITARIO,1.0,30.0
PL132,PILATOS SANTAFE MEDELLIN,DIESEL ADULTO,FEMENINO,TENIS,1099900.0,9.0
PL113,PILATOS EL TESORO MEDELLIN,ON,MASCULINO,TENIS,849990.0,18.0
PO317,PILATOS UNICENTRO PEREIRA,NIKE,FEMENINO,TENIS,1079950.0,1.0
CDEDM,CENTRO DE DISTRIBUCION EDM,CLEMONT,FEMENINO,CAMISETA,450000.0,4.0
PL108,PILATOS GRAN ESTACION BOGOTA,CLEMONT,MASCULINO,CAMISETA,470000.0,1.0
PLP13,PILATOS UNICO CALI 2,ALPINESTARS,MASCULINO,GORRO,115900.0,2.0
ML407,DIESEL EL RETIRO BOGOTA,DIESEL ADULTO,MASCULINO,JEAN,2099900.0,4.0
PF720,PILATOS PASTO,CLEMONT,MASCULINO,CAMISETA,390000.0,32.0
PL143,PILATOS CARACOLI BUCARAMANGA,SUPERDRY,MASCULINO,CAMISETA,219900.0,10.0
PO302,PILATOS PLAZA CENTRAL  BOGOTA,DIESEL ADULTO,MASCULINO,MORRAL,1449900.0,3.0
PL18P,PILATOS UNICO BUCARAMANGA,MARITHE FRANCOIS GIRBAUD,MASCULINO,GORRO,129900.0,2.0
PL145,PILATOS DE MODA PRIME OUTLET LC 227,NIKE,MASCULINO,TENIS,964950.0,1.0
ML414,DIESEL SANTAFE MEDELLIN,DIESEL ADULTO,FEMENINO,BOLSO,2499900.0,8.0
PL112,PILATOS CHIPICHAPE CALI,MARITHE FRANCOIS GIRBAUD,MASCULINO,JEAN,499900.0,9.0
MLM10,MFG SAN NICOLAS RIONEGRO,MARITHE FRANCOIS GIRBAUD,FEMENINO,VESTIDO,369900.0,3.0
ML622,SUPERDRY PLAZA FABRICATO BELLO,SUPERDRY,FEMENINO,BUZO,419900.0,58.0
CDEDM,CENTRO DE DISTRIBUCION EDM,MARITHE FRANCOIS GIRBAUD,MASCULINO,CAMISA,199900.0,179.0
ML225,NEW BALANCE FLORIDA PARQUE COMERCIAL,NEW BALANCE,FEMENINO,CHAQUETA,649900.0,1.0
PL335,PILATOS OUTLET AMERICAS 2 BOG,MARITHE FRANCOIS GIRBAUD,FEMENINO,CHAQUETA,249900.0,6.0
PL107,PILATOS MALL PLAZA CARTAGENA,SUPERDRY,MASCULINO,MORRAL,339900.0,1.0
PL19P,PILATOS LA HERRADURA TULUA,MARITHE FRANCOIS GIRBAUD,MASCULINO,CAMISETA,249900.0,15.0
MF743,MFG CACIQUE BUCARAMANGA,MARITHE FRANCOIS GIRBAUD,FEMENINO,BUZO,399900.0,3.0
ML668,KIPLING SANTAFE MEDELLIN,KIPLING,FEMENINO,CARTUCHERA,249900.0,148.0
ML211,NEW BALANCE MAYORCA SABANETA,NEW BALANCE,MASCULINO,TENIS,569900.0,2.0
MF728,SUPERDRY PASTO,SUPERDRY,MASCULINO,MORRAL,419900.0,2.0
BBC1 ,BROKEN CHAINS MEDELLIN,ADIDAS,UNISEX,TENIS,749950.0,26.0
ML223,NEW BALANCE MALL PLAZA MANIZALES,NEW BALANCE,FEMENINO,TENIS,889900.0,34.0
ML407,DIESEL EL RETIRO BOGOTA,DIESEL ADULTO,UNISEX,JOYERIA,649900.0,7.0
MLM05,MFG MULTIPLAZA LA FELICIDAD BOGOTA,MARITHE FRANCOIS GIRBAUD,MASCULINO,POLO,249900.0,33.0
PL138,PILATOS VIVA BARRANQUILLA,NIKE,FEMENINO,TENIS,579950.0,3.0
ML210,NEW BALANCE EL TESORO MEDELLIN,NEW BALANCE,NIÑO,TENIS,649900.0,13.0
PL17P,PILATOS ACCESORIOS SAN NICOLAS RIONEGRO,LE COQ SPORTIF,MASCULINO,TENIS,480000.0,1.0
pf745,PILATOS VIVA TUNJA,MARITHE FRANCOIS GIRBAUD,MASCULINO,JEAN,249900.0,11.0
PF745,PILATOS VIVA TUNJA,MARITHE FRANCOIS GIRBAUD,MASCULINO,JEAN,249900.0,3.0
PL12P,PILATOS UNICO VILLAVICENCIO,SUPERDRY,MASCULINO,CAMISETA,299900.0,85.0
ML423,DIESEL PARQUE LA COLINA BOGOTA,DIESEL ADULTO,MASCULINO,TENIS,1399900.0,26.0
