Tienda,Marca,Genero,Tipo,Precio_Intervalo,Cantidad_Inventario,Porcentaje_Actual,Porcentaje_Ventas,Cantidad_Propuesta_Inventario
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,BERMUDA,"[219990.0, 235986.0)",4.0,0.26666666666666666,0.3333333333333333,3.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,BERMUDA,"[283974.0, 299970.0)",6.0,0.4,0.6666666666666666,7.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,BUZO,"[339950.0, 395950.0)",4.0,0.10526315789473684,0.16666666666666666,2.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,BUZO,"[395950.0, 451950.0)",6.0,0.15789473684210525,0.3333333333333333,5.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,BUZO,"[507950.0, 563950.0)",5.0,0.13157894736842105,0.5,8.0
BROKEN CHAINS CALI,ADIDAS,FEMENINO,BUZO,"[339950.0, 395950.0)",4.0,0.2857142857142857,1.0,4.0
BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,BUZO,"[339950.0, 395950.0)",6.0,0.2,0.14285714285714285,3.0
BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,BUZO,"[395950.0, 451950.0)",2.0,0.06666666666666667,0.2857142857142857,5.0
BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,BUZO,"[619950.0, 675950.0)",3.0,0.1,0.14285714285714285,3.0
BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,BUZO,"[675950.0, 731950.0)",3.0,0.1,0.2857142857142857,5.0
BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,BUZO,"[843950.0, 900510.0)",4.0,0.13333333333333333,0.14285714285714285,3.0
BROKEN CHAINS PEREIRA,ADIDAS,FEMENINO,BUZO,"[339950.0, 395950.0)",3.0,0.25,1.0,3.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,CAMISA,"[235950.0, 273950.0)",8.0,0.8,1.0,8.0
BROKEN CHAINS CALI,ADIDAS,FEMENINO,CAMISA,"[269950.0, 302950.0)",6.0,0.5,1.0,6.0
BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,CAMISA,"[247950.0, 291950.0)",8.0,0.5714285714285714,1.0,8.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,CAMISETA,"[245950.0, 351950.0)",20.0,0.36363636363636365,0.37037037037037035,14.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,CAMISETA,"[351950.0, 457950.0)",9.0,0.16363636363636364,0.2962962962962963,11.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,CAMISETA,"[457950.0, 563950.0)",6.0,0.10909090909090909,0.14814814814814814,6.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,CAMISETA,"[1093950.0, 1201010.0)",3.0,0.05454545454545454,0.037037037037037035,1.0
BROKEN CHAINS CALI,ADIDAS,FEMENINO,CAMISETA,"[139950.0, 245950.0)",13.0,0.325,0.2,7.0
BROKEN CHAINS CALI,ADIDAS,FEMENINO,CAMISETA,"[245950.0, 351950.0)",15.0,0.375,0.5,17.0
BROKEN CHAINS CALI,ADIDAS,FEMENINO,CAMISETA,"[351950.0, 457950.0)",6.0,0.15,0.2,7.0
BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,CAMISETA,"[139950.0, 245950.0)",14.0,0.21212121212121213,0.2727272727272727,18.0
BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,CAMISETA,"[245950.0, 351950.0)",33.0,0.5,0.18181818181818182,12.0
BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,CAMISETA,"[351950.0, 457950.0)",11.0,0.16666666666666666,0.2727272727272727,18.0
BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,CAMISETA,"[457950.0, 563950.0)",4.0,0.06060606060606061,0.09090909090909091,6.0
BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,CAMISETA,"[563950.0, 669950.0)",1.0,0.015151515151515152,0.09090909090909091,6.0
BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,CAMISETA,"[1093950.0, 1201010.0)",3.0,0.045454545454545456,0.09090909090909091,6.0
BROKEN CHAINS PEREIRA,ADIDAS,FEMENINO,CAMISETA,"[351950.0, 457950.0)",10.0,0.19607843137254902,1.0,10.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,CHAQUETA,"[489950.0, 579950.0)",5.0,0.18518518518518517,0.18181818181818182,4.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,CHAQUETA,"[579950.0, 669950.0)",4.0,0.14814814814814814,0.18181818181818182,4.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,CHAQUETA,"[669950.0, 759950.0)",1.0,0.037037037037037035,0.36363636363636365,9.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,CHAQUETA,"[939950.0, 1029950.0)",3.0,0.1111111111111111,0.09090909090909091,2.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,CHAQUETA,"[1209950.0, 1300850.0)",11.0,0.4074074074074074,0.18181818181818182,4.0
BROKEN CHAINS CALI,ADIDAS,FEMENINO,CHAQUETA,"[699950.0, 759950.0)",4.0,0.17391304347826086,1.0,4.0
BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,CHAQUETA,"[939950.0, 1000550.0)",4.0,0.19047619047619047,0.3333333333333333,1.0
BROKEN CHAINS PEREIRA,ADIDAS,FEMENINO,CHAQUETA,"[699950.0, 759950.0)",3.0,0.15789473684210525,1.0,3.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,FALDA,"[349950.0, 379950.0)",5.0,0.19230769230769232,0.75,8.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,FALDA,"[619950.0, 650250.0)",5.0,0.19230769230769232,0.25,2.0
BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,FALDA,"[306950.0, 355950.0)",5.0,0.18518518518518517,0.5,6.0
BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,FALDA,"[600950.0, 650440.0)",6.0,0.2222222222222222,0.5,6.0
BROKEN CHAINS PEREIRA,ADIDAS,FEMENINO,FALDA,"[379950.0, 409950.0)",6.0,0.25,1.0,6.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,JEAN,"[543950.0, 569950.0)",16.0,0.6956521739130435,0.42857142857142855,8.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,JEAN,"[673950.0, 700210.0)",3.0,0.13043478260869565,0.42857142857142855,8.0
BROKEN CHAINS CALI,ADIDAS,FEMENINO,JEAN,"[543950.0, 569950.0)",20.0,0.5555555555555556,0.4,12.0
BROKEN CHAINS CALI,ADIDAS,FEMENINO,JEAN,"[647950.0, 673950.0)",2.0,0.05555555555555555,0.4,12.0
BROKEN CHAINS CALI,ADIDAS,FEMENINO,JEAN,"[673950.0, 700210.0)",7.0,0.19444444444444445,0.2,6.0
BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,JEAN,"[439950.0, 465950.0)",6.0,0.14634146341463414,0.125,5.0
BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,JEAN,"[543950.0, 569950.0)",21.0,0.5121951219512195,0.25,10.0
BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,JEAN,"[647950.0, 673950.0)",5.0,0.12195121951219512,0.25,10.0
BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,JEAN,"[673950.0, 700210.0)",9.0,0.21951219512195122,0.375,15.0
BROKEN CHAINS PEREIRA,ADIDAS,FEMENINO,JEAN,"[439950.0, 465950.0)",6.0,0.14634146341463414,1.0,6.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,PANTALON,"[346950.0, 413950.0)",5.0,0.10204081632653061,0.09090909090909091,3.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,PANTALON,"[413950.0, 480950.0)",13.0,0.2653061224489796,0.09090909090909091,3.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,PANTALON,"[480950.0, 547950.0)",2.0,0.04081632653061224,0.09090909090909091,3.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,PANTALON,"[547950.0, 614950.0)",8.0,0.16326530612244897,0.18181818181818182,6.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,PANTALON,"[614950.0, 681950.0)",3.0,0.061224489795918366,0.18181818181818182,6.0
BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,PANTALON,"[882950.0, 950620.0)",3.0,0.061224489795918366,0.36363636363636365,12.0
BROKEN CHAINS CALI,ADIDAS,FEMENINO,PANTALON,"[547950.0, 583950.0)",8.0,0.36363636363636365,0.5,4.0
BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,PANTALON,"[319950.0, 367950.0)",3.0,0.12,0.14285714285714285,2.0
BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,PANTALON,"[511950.0, 559950.0)",7.0,0.28,0.14285714285714285,2.0
BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,PANTALON,"[607950.0, 655950.0)",2.0,0.08,0.2857142857142857,5.0
BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,PANTALON,"[751950.0, 800430.0)",4.0,0.16,0.42857142857142855,7.0
