Canal,Formato,Tienda,Marca,Genero,Tipo,Cantidad_Inventario,Cantidad_Ventas,Despacho,Precio_Lista_Mediana
Celio,Franquicia,CELIO CAMPANARIO POPAYAN,CELIO,MASCULINO,BILLETERA,1.0,0.0,0.0,45990.0
Celio,Franquicia,CELIO CAMPANARIO POPAYAN,CELIO,MASCULINO,BOLSO,5.0,0.0,0.0,104990.0
Celio,Franquicia,CELIO CAMPANARIO POPAYAN,CELIO,MASCULINO,BUZO,12.0,0.0,0.0,119990.0
Celio,Franquicia,CELIO CAMPANARIO POPAYAN,CELIO,MASCULINO,CAMISA,97.0,0.0,0.0,94990.0
Celio,Franquicia,CELIO CAMPANARIO POPAYAN,CELIO,MASCULINO,CAMISETA,208.0,0.0,0.0,44990.0
Celio,Franquicia,CELIO CAMPANARIO POPAYAN,CELIO,MASCULINO,CHAQUETA,42.0,0.0,0.0,129990.0
Celio,Franquicia,CELIO CAMPANARIO POPAYAN,CELIO,MASCULINO,CORREA,2.0,0.0,0.0,55490.0
Celio,Franquicia,CELIO CAMPANARIO POPAYAN,CELIO,MASCULINO,GORRO,7.0,0.0,0.0,52990.0
Celio,Franquicia,CELIO CAMPANARIO POPAYAN,CELIO,MASCULINO,JEAN,31.0,0.0,0.0,149990.0
Celio,Franquicia,CELIO CAMPANARIO POPAYAN,CELIO,MASCULINO,MEDIAS,11.0,0.0,0.0,42490.0
Celio,Franquicia,CELIO CAMPANARIO POPAYAN,CELIO,MASCULINO,PANTALON,21.0,0.0,0.0,142990.0
Celio,Franquicia,CELIO CAMPANARIO POPAYAN,CELIO,MASCULINO,POLO,71.0,0.0,0.0,79990.0
Celio,Franquicia,CELIO CAMPANARIO POPAYAN,CELIO,MASCULINO,ROPA INTERIOR,4.0,0.0,0.0,54990.0
Celio,Franquicia,CELIO CAMPANARIO POPAYAN,CELIO,MASCULINO,SANDALIAS,1.0,0.0,0.0,39990.0
Celio,Franquicia,CELIO CAMPANARIO POPAYAN,CELIO,MASCULINO,TENIS,3.0,0.0,0.0,129990.0
Celio,Franquicia,CELIO CAMPANARIO POPAYAN,CELIO,MASCULINO,ZAPATOS,11.0,0.0,0.0,104990.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BERMUDA,6.0,3.0,13.0,1299900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BILLETERA,0.0,2.0,0.0,899900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BOLSO,37.0,44.0,63.0,2349900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BUZO,17.0,11.0,17.0,1749900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,CAMISA,6.0,1.0,8.0,1449900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,CAMISETA,73.0,78.0,167.0,774900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,CHAQUETA,21.0,14.0,37.0,2399900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,CORREA,13.0,22.0,34.0,924900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,FALDA,13.0,2.0,13.0,1499900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,GORRO,2.0,0.0,0.0,999900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,JEAN,190.0,168.0,385.0,1499900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,LLAVERO,8.0,0.0,8.0,499900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,PANTALON,17.0,2.0,13.0,1749900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,ROPA DE BAÑO,3.0,0.0,0.0,699900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,ROPA INTERIOR,10.0,8.0,23.0,274900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,TENIS,94.0,15.0,99.0,1349900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,VESTIDO,12.0,1.0,10.0,1699900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,ZAPATOS,28.0,7.0,17.0,3499900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,BERMUDA,7.0,0.0,6.0,999900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,BILLETERA,0.0,2.0,4.0,599900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,BOLSO,13.0,5.0,4.0,949900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,BUZO,52.0,57.0,100.0,1249900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CAMISA,30.0,4.0,25.0,1274900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CAMISETA,120.0,157.0,279.0,649900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CHAQUETA,50.0,31.0,73.0,2474900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CORREA,11.0,17.0,31.0,799900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,ENTERIZO,4.0,0.0,0.0,2099900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,FRAGANCIA,14.0,19.0,61.0,379900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,GORRO,6.0,10.0,22.0,449900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,JEAN,403.0,552.0,944.0,1449900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,LLAVERO,1.0,0.0,1.0,499900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,MALETA,1.0,0.0,0.0,2099900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,MATERIAL PUBLICITARIO,0.0,64.0,80.0,1.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,MEDIAS,0.0,10.0,34.0,139900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,MORRAL,4.0,2.0,2.0,1274900.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,PANTALON,4.0,13.0,17.0,1449900.0
