Canal,Formato,Tienda,Marca,Genero,Tipo,Precio_Lista,Cantidad_Inventario,Cantidad_Ventas,Despacho
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BERMUDA,1099900.0,4.0,0.0,5.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BERMUDA,1299900.0,2.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BOLSO,1799900.0,2.0,0.0,4.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BOLSO,1899900.0,3.0,0.0,7.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BOLSO,1949900.0,1.0,0.0,1.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BOLSO,2099900.0,5.0,0.0,11.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BOLSO,2199900.0,4.0,0.0,4.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BOLSO,2299900.0,1.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BOLSO,2399900.0,1.0,0.0,5.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BOLSO,2499900.0,4.0,0.0,2.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BOLSO,2699900.0,2.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BOLSO,2799900.0,4.0,0.0,13.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BOLSO,2999900.0,4.0,0.0,4.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BOLSO,3299900.0,2.0,0.0,2.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BOLSO,3599900.0,3.0,0.0,8.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BOLSO,4299900.0,1.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BUZO,1099900.0,4.0,0.0,7.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BUZO,1499900.0,3.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BUZO,1699900.0,1.0,0.0,2.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BUZO,1799900.0,3.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BUZO,1999900.0,4.0,0.0,6.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,BUZO,2199900.0,2.0,0.0,2.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,CAMISA,949900.0,2.0,0.0,3.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,CAMISA,1949900.0,4.0,0.0,8.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,CAMISETA,399900.0,12.0,0.0,29.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,CAMISETA,449900.0,12.0,0.0,12.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,CAMISETA,499900.0,8.0,0.0,11.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,CAMISETA,549900.0,13.0,0.0,42.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,CAMISETA,599900.0,7.0,0.0,10.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,CAMISETA,699900.0,8.0,0.0,16.0
