CO,Tienda,Marca,Genero,Tipo,Cantidad,Precio_unitario_promedio,Precio_Intervalo
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,BUZO,1.0,1449900.0,"[1439900.0, 1524900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,CAMISETA,1.0,549900.0,"[549900.0, 574900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,11.0,799900.0,"[799900.0, 974900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,1.0,949900.0,"[799900.0, 974900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,2.0,1099900.0,"[974900.0, 1149900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,1.0,1149900.0,"[1149900.0, 1324900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,2.0,1199900.0,"[1149900.0, 1324900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,1.0,1249900.0,"[1149900.0, 1324900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,3.0,1399900.0,"[1324900.0, 1499900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,2.0,1449900.0,"[1324900.0, 1499900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,1.0,1599900.0,"[1499900.0, 1674900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,7.0,1699900.0,"[1674900.0, 1849900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,2.0,1749900.0,"[1674900.0, 1849900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,1.0,2149900.0,"[2024900.0, 2199900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,TENIS,3.0,199900.0,"[199900.0, 389900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,TENIS,2.0,799900.0,"[769900.0, 959900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,TENIS,4.0,999900.0,"[959900.0, 1149900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,TENIS,1.0,1199900.0,"[1149900.0, 1339900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,TENIS,2.0,1349900.0,"[1339900.0, 1529900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,TENIS,2.0,2099900.0,"[1909900.0, 2101800.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,BILLETERA,1.0,599900.0,"[599900.0, 604900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,BUZO,1.0,899900.0,"[849900.0, 959900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,BUZO,7.0,999900.0,"[959900.0, 1069900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,CAMISETA,1.0,79900.0,"[79900.0, 186900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,CAMISETA,12.0,349900.0,"[293900.0, 400900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,CAMISETA,9.0,399900.0,"[293900.0, 400900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,CAMISETA,25.0,449900.0,"[400900.0, 507900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,CAMISETA,1.0,499900.0,"[400900.0, 507900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,CHAQUETA,2.0,1399900.0,"[1399900.0, 1449900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,CHAQUETA,1.0,1799900.0,"[1799900.0, 1849900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,GORRO,1.0,299900.0,"[299900.0, 369900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,1.0,239900.0,"[239900.0, 455900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,2.0,799900.0,"[671900.0, 887900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,3.0,849900.0,"[671900.0, 887900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,2.0,949900.0,"[887900.0, 1103900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,7.0,999900.0,"[887900.0, 1103900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,1.0,1099900.0,"[887900.0, 1103900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,11.0,1149900.0,"[1103900.0, 1319900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,6.0,1249900.0,"[1103900.0, 1319900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,4.0,1299900.0,"[1103900.0, 1319900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,2.0,1449900.0,"[1319900.0, 1535900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,11.0,1599900.0,"[1535900.0, 1751900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,1.0,1699900.0,"[1535900.0, 1751900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,4.0,1749900.0,"[1535900.0, 1751900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,3.0,1799900.0,"[1751900.0, 1967900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,8.0,1899900.0,"[1751900.0, 1967900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,1.0,1949900.0,"[1751900.0, 1967900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,1.0,1999900.0,"[1967900.0, 2183900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,12.0,2099900.0,"[1967900.0, 2183900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,2.0,2149900.0,"[1967900.0, 2183900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,1.0,2299900.0,"[2183900.0, 2402060.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,1.0,2349900.0,"[2183900.0, 2402060.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,POLO,14.0,499900.0,"[499900.0, 529900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,POLO,1.0,549900.0,"[529900.0, 559900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,POLO,1.0,649900.0,"[649900.0, 679900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,POLO,2.0,699900.0,"[679900.0, 709900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,POLO,6.0,749900.0,"[739900.0, 769900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,POLO,1.0,799900.0,"[769900.0, 800200.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,ROPA INTERIOR,1.0,279900.0,"[279900.0, 289900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,ROPA INTERIOR,9.0,299900.0,"[299900.0, 309900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,ROPA INTERIOR,1.0,349900.0,"[339900.0, 350000.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,TENIS,1.0,199900.0,"[199900.0, 379900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,TENIS,1.0,749900.0,"[739900.0, 919900.0)"
