CO,almacen_bodegaedm,almacen_descri,almacen_grupo_canal,almacen_formato_crm
101,PL101,PILATOS BUENAVISTA BARRANQUILLA,Pilatos,Linea
102,PL102,PILATOS PORTAL DEL QUINDIO ARMENIA,Pilatos,Linea
103,PL103,PILATOS FUNDADORES MANIZALES,Pilatos,Linea
104,PL104,PILATOS BUENAVISTA SANTA MARTA,Pilatos,Linea
105,PL105,PILATOS PEREIRA PLAZA II PEREIRA,Pilatos,Linea
106,LP106,PILATOS SANTAFE BOGOTA,Pilatos,Linea
107,PL107,PILATOS MALL PLAZA CARTAGENA,Pilatos,Linea
108,PL108,PILATOS GRAN ESTACION BOGOTA,Pilatos,Linea
109,PL109,PILATOS ANDINO BOGOTA,Pilatos,Linea
110,PL110,PILATOS JARDIN PLAZA CALI,Pilatos,Linea
111,PL111,PILATOS UNICENTRO CALI,Pilatos,Linea
112,PL112,PILATOS CHIPICHAPE CALI,Pilatos,Linea
113,PL113,PILATOS EL TESORO MEDELLIN,Pilatos,Linea
114,PL114,PILATOS OVIEDO MEDELLIN,Pilatos,Linea
115,PL115,PILATOS PEREIRA PLAZA PEREIRA,Pilatos,Linea
116,PL116,PILATOS ARBOLEDA PEREIRA,Pilatos,Linea
117,LP117,PILATOS SANTA FE MEDELLIN,Pilatos,Linea
118,PL118,PILATOS SALITRE PLAZA BOGOTA,Pilatos,Linea
119,PL119,PILATOS CARIBE PLAZA CARTAGENA,Pilatos,Linea
120,LP120,PILATOS VILLA COUNTRY BARRANQUILLA,Pilatos,Linea
121,PL121,PILATOS TITAN PLAZA BOGOTA,Pilatos,Linea
122,PL122,PILATOS ARRECIFE SANTA MARTA,Pilatos,Linea
123,PL123,PILATOS UNICENTRO ARMENIA,Pilatos,Linea
124,LP124,PILATOS UNICENTRO II BOGOTA,Pilatos,Linea
126,PL126,PILATOS SAN PEDRO PLAZA NEIVA,Pilatos,Linea
127,PL127,PILATOS CENTRO HISTORICO CARTAGENA,Pilatos,Linea
128,PL128,PILATOS ACCESORIOS ANDINO BOGOTA,Pilatos,Linea
129,PL129,PILATOS ACCESORIOS PUERTA DEL NORTE BELL,Pilatos,Linea
130,PL130,PILATOS SANTAFE BOGOTA,Pilatos,Linea
131,PL131,PILATOS GRAN PLAZA IPIALES,Pilatos,Linea
132,PL132,PILATOS SANTAFE MEDELLIN,Pilatos,Linea
133,PL133,PILATOS FONTANAR BOGOTA,Pilatos,Linea
134,PL134,PILATOS ACCESORIOS MAYORCA SABANETA,Pilatos,Linea
135,PL135,PILATOS MULTIPLAZA LA FELICIDAD BOGOTA,Pilatos,Linea
136,PL136,PILATOS PARQUE LA COLINA BOGOTA,Pilatos,Linea
137,PL137,PILATOS MAYALES VALLEDUPAR,Pilatos,Linea
138,PL138,PILATOS VIVA BARRANQUILLA,Pilatos,Linea
139,PL139,PILATOS VIVA VILLAVICENCIO,Pilatos,Linea
140,PL140,PILATOS MULTICENTRO IBAGUE,Pilatos,Franquicia
141,PL141,PILATOS BUENAVISTA MONTERIA,Pilatos,Linea
142,PL142,PILATOS MEGAMALL BUCARAMANGA,Pilatos,Linea
143,PL143,PILATOS CARACOLI BUCARAMANGA,Pilatos,Linea
144,PL144,PILATOS 122 BOGOTA,Pilatos,Linea
145,PL145,PILATOS DE MODA PRIME OUTLET LC 108,Pilatos,Outlet
146,PL146,PILATOS VIVA LC 143 ENVIGADO,Pilatos,Linea
147,PL147,PILATOS MAYORCA SABANETA,Pilatos,Mixta
161,FQ161,PILATOS LLANOGRANDE PALMIRA,Pilatos,Franquicia
162,FQ162,PILATOS MULTICENTRO IBAGUE,Pilatos,Franquicia
163,FQ163,PILATOS LA ESTACION IBAGUE,Pilatos,Franquicia
164,FQ164,PILATOS ALAMEDAS DEL SINU MONTERIA,Pilatos,Franquicia
165,FQ165,PILATOS BUENAVISTA MONTERIA,Pilatos,Franquicia
166,FQ166,PILATOS CAMPANARIO POPAYAN,Pilatos,Franquicia
168,FQ168,PILATOS UNICENTRO TUNJA,Pilatos,Franquicia
169,FQ169,PILATOS GUATAPURI VALLEDUPAR,Pilatos,Franquicia
170,FQ170,PILATOS UNICENTRO VILLAVICENCIO,Pilatos,Franquicia
171,FQ171,PILATOS GRAN PLAZA ALCARAVAN YOPAL,Pilatos,Franquicia
172,FQ172,PILATOS UNICENTRO YOPAL,Pilatos,Franquicia
173,FQ173,PILATOS VIVA VILLAVICENCIO,Pilatos,Franquicia
174,FQ174,PILATOS CABLE PLAZA MANIZALES,Pilatos,Franquicia
175,FQ175,PILATOS LOS MAYALES VALLEDUPAR,Pilatos,Franquicia
176,PL176,PILATOS ACTIVE EL TESORO MEDELLIN,Pilatos,Linea
177,FQ177,PILATOS ACCESORIOS CALLE 6 POPAYAN,Pilatos,Franquicia
178,FQ178,PILATOS CARRERA 21 ARAUCA,Pilatos,Franquicia
179,FQ179,SUPERDRY TERRAPLAZA POPAYAN,Superdry,Franquicia
180,FQ180,PILATOS SAN SILVESTRE BARRANCABERMEJA,Pilatos,Franquicia
181,FQ181,PILATOS CACIQUE BUCARAMANGA,Pilatos,Franquicia
182,FQ182,PILATOS GRAN PLAZA FLORENCIA,Pilatos,Franquicia
184,FQ184,SUPERDRY MALL PLAZA MANIZALES,Superdry,Franquicia
185,FQ185,KIPLING MALL PLAZA MANIZALES,Pilatos,Franquicia
186,FQ186,PILATOS FUNDADORES MANIZALES,Pilatos,Franquicia
188,FQ188,PILATOS CACIQUE BUCARAMANGA,Pilatos,Franquicia
197,PL197,MOVIL EVENTO 1,Pilatos,Linea
198,LP198,MOVIL EVENTO 2,Pilatos,Linea
199,CDEDM,PILATOS ONLINE,Pilatos,Online
200,LP200,MOVIL EVENTO 3,Pilatos,Linea
201,LP201,MOVIL EVENTO 4,Pilatos,Linea
202,CDEDM,REPLAY ONLINE,Replay,Online
203,CDEDM,KIPLING ONLINE,Kipling,Online
204,CDEDM,MFG ONLINE,MFG,Online
205,CDEDM,NEWPROJECT ONLINE,NewProject,Online
207,LP207,MOVIL EVENTO,Pilatos,Linea
208,CDEDM,DIESEL ONLINE,Diesel,Online
209,CDEDM,SUPERDRY ONLINE,Superdry,Online
210,ML210,NEW BALANCE EL TESORO MEDELLIN,NewBalance,Linea
211,ML211,NEW BALANCE MAYORCA SABANETA,NewBalance,Mixta
212,ML212,NEW BALANCE CARACOLI BUCARAMANGA,NewBalance,Linea
213,ML213,NEW BALANCE DE MODA PRIME OUTLET LC 121,NewBalance,Outlet
214,ML214,NEW BALANCE BUENAVISTA BARRANQUILLA,NewBalance,Linea
301,PO301,PILATOS OUTLET UNICO BARRANQUILLA,Pilatos,Outlet
302,PO302,PILATOS PLAZA CENTRAL  BOGOTA,Pilatos,Outlet
303,OP303,PILATOS OUTLET PUERTA DEL NORTE BELLO,Pilatos,Outlet
304,PO304,PILATOS OUTLET NIZA BOGOTA,Pilatos,Outlet
305,PO305,PILATOS OUTLET MAYORCA SABANETA,Pilatos,Outlet
306,PO306,PILATOS OUTLET MONTERREY MEDELLIN,Pilatos,Outlet
307,PO307,PILATOS OUTLET SAN NICOLAS RIONEGRO,Pilatos,Mixta
308,PO308,PILATOS OUTLET UNICENTRO MEDELLIN,Pilatos,Mixta
