,Tienda,Marca,Genero,Tipo,Precio_Intervalo,Cantidad_Inventario,Porcentaje_Actual,Porcentaje_Ventas
0,PILATOS ACCESORIOS SAN SILVIESTRE,47 BRAND,MASCULINO,GORRO,"[199900.0, 201810.0)",2.0,0.5,1.0
1,PILATOS NQS MALL PLAZA BOGOTA,47 BRAND,MASCULINO,GORRO,"[219000.0, 219043.8)",1.0,1.0,1.0
2,PILATOS SAN SILVESTRE BARRANCABERMEJA,47 BRAND,MASCULINO,GORRO,"[189900.0, 189937.98)",1.0,1.0,1.0
3,PILATOS UNICO BARRANQUILLA,47 BRAND,MASCULINO,GORRO,"[199900.0, 199939.98)",1.0,1.0,1.0
4,BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,BERMUDA,"[363954.0, 380109.96)",1.0,0.1,1.0
5,BROKEN CHAINS CALI,ADIDAS,FEMENINO,BERMUDA,"[299950.0, 309950.0)",1.0,0.2,0.5
6,BROKEN CHAINS CALI,ADIDAS,FEMENINO,BERMUDA,"[389950.0, 400050.0)",2.0,0.4,0.5
7,BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,BERMUDA,"[371950.0, 383950.0)",3.0,0.16666666666666666,0.25
8,BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,BERMUDA,"[395950.0, 407950.0)",1.0,0.05555555555555555,0.75
9,BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,BUZO,"[349950.0, 389950.0)",2.0,0.2,0.6363636363636364
10,BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,BUZO,"[629950.0, 669950.0)",7.0,0.7,0.09090909090909091
11,BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,BUZO,"[709950.0, 750350.0)",1.0,0.1,0.18181818181818182
12,BROKEN CHAINS CALI,ADIDAS,FEMENINO,BUZO,"[349950.0, 389950.0)",5.0,0.22727272727272727,0.3333333333333333
13,BROKEN CHAINS CALI,ADIDAS,FEMENINO,BUZO,"[709950.0, 750350.0)",2.0,0.09090909090909091,0.3333333333333333
14,BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,BUZO,"[349950.0, 389950.0)",3.0,0.23076923076923078,0.42857142857142855
15,BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,BUZO,"[709950.0, 750350.0)",2.0,0.15384615384615385,0.42857142857142855
16,BROKEN CHAINS PEREIRA,ADIDAS,FEMENINO,BUZO,"[349950.0, 389950.0)",2.0,0.25,1.0
17,BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,CAMISA,"[159950.0, 159981.99)",1.0,1.0,1.0
18,BROKEN CHAINS CALI,ADIDAS,FEMENINO,CAMISA,"[501950.0, 540330.0)",1.0,0.16666666666666666,1.0
19,BROKEN CHAINS CALI,ADIDAS,FEMENINO,CAMISETA,"[287950.0, 315950.0)",2.0,0.07692307692307693,1.0
20,BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,CAMISETA,"[139950.0, 153954.0)",8.0,0.20512820512820512,0.5
21,BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,CAMISETA,"[223974.0, 237978.0)",1.0,0.02564102564102564,0.25
22,BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,CAMISETA,"[237978.0, 251982.0)",11.0,0.28205128205128205,0.25
